"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"CL"|"Yes"|72024516|133851297
"CL"|"No "|72024519|133851302
"CH"|"Yes"|72024519|133851303
"CL"|"Yes"|72024515|133851295
"SC"|"No "|72024517|133851298
"CH"|"No "|72024517|133851299
"CL"|"Yes"|72024517|133851300
"CL"|"Yes"|72024518|133851301
"CL-ML"|"Yes"|72024747|133851756
"CL"|"No "|72024747|133851757
"SM"|"No "|72024747|133851758
"CL"|"Yes"|72024745|133851752
"CH"|"No "|72024745|133851753
"CH"|"Yes"|72024746|133851754
"CL"|"No "|72024746|133851755
"CL"|"Yes"|72024744|133851749
"CH"|"No "|72024744|133851750
"SC"|"No "|72024744|133851751
"CH"|"Yes"|72024742|133851745
"CL"|"No "|72024742|133851746
"CL"|"Yes"|72024740|133851739
"CH"|"No "|72024740|133851740
"SC"|"No "|72024740|133851741
"CL"|"Yes"|72024741|133851742
"CH"|"No "|72024741|133851743
"SC"|"No "|72024741|133851744
"GM"|"Yes"|72024743|133851747
"SC-SM"|"No "|72024743|133851748
"SC-SM"|"Yes"|72024723|133851700
"SM"|"No "|72024723|133851701
"CL"|"Yes"|72024724|133851702
"SC"|"No "|72024724|133851703
"CL"|"No "|72024725|133851704
"CH"|"Yes"|72024725|133851705
"CL"|"No "|72024726|133851706
"CH"|"Yes"|72024726|133851707
"CH"|"No "|72025019|133852276
"CL"|"Yes"|72025019|133852277
"CH"|"Yes"|72025021|133852279
"CH"|"Yes"|72025020|133852278
"CL"|"Yes"|72024751|133851761
"CH"|"Yes"|72024749|133851759
"CH"|"Yes"|72024750|133851760
"CL"|"No "|72024520|133851304
"SC"|"Yes"|72024520|133851305
"CL"|"No "|72024521|133851306
"SC"|"Yes"|72024521|133851307
"SC-SM"|"Yes"|72024522|133851308
"SM"|"No "|72024522|133851309
"SC"|"No "|72024522|133851310
"SC-SM"|"Yes"|72024523|133851311
"SM"|"No "|72024523|133851312
"SC"|"No "|72024523|133851313
"SM"|"Yes"|72025191|133852611
"CL"|"Yes"|72025192|133852612
"SC"|"No "|72025192|133852613
"SC"|"Yes"|72025193|133852614
"CL"|"No "|72025193|133852615
"SM"|"Yes"|72025190|133852610
"CL"|"Yes"|72024940|133852131
"SC-SM"|"No "|72024940|133852132
"CL"|"Yes"|72024941|133852133
"CL-ML"|"No "|72024941|133852134
"CL"|"Yes"|72024273|133850813
"CH"|"No "|72024273|133850814
"SC"|"No "|72024273|133850815
"CL"|"Yes"|72024274|133850816
"SC"|"No "|72024274|133850817
"CL"|"Yes"|72024275|133850818
"SC-SM"|"No "|72024275|133850819
"SM"|"Yes"|72025195|133852616
"CL-ML"|"No "|72025195|133852617
"CL"|"Yes"|72025197|133852620
"ML"|"No "|72025197|133852621
"CL"|"Yes"|72025196|133852618
"SC"|"No "|72025196|133852619
"CL"|"Yes"|72025108|133852456
"SC"|"No "|72025108|133852457
"CH"|"Yes"|72025111|133852462
"CL"|"No "|72025111|133852463
"CL"|"Yes"|72025109|133852458
"SC"|"No "|72025109|133852459
"CH"|"No "|72025109|133852460
"CL"|"Yes"|72025110|133852461
"CL"|"Yes"|72025107|133852455
"ML"|"No "|72024492|133851250
"CL"|"Yes"|72024492|133851251
"SC-SM"|"No "|72024495|133851254
"SM"|"Yes"|72024495|133851255
"ML"|"No "|72024496|133851256
"CL"|"Yes"|72024496|133851257
"CL"|"Yes"|72024493|133851252
"CL"|"Yes"|72024494|133851253
"SC-SM"|"No "|72024497|133851258
"SM"|"Yes"|72024497|133851259
"CL-ML"|"No "|72024500|133851264
"CL"|"Yes"|72024500|133851265
"CL-ML"|"No "|72024498|133851260
"ML"|"Yes"|72024498|133851261
"SC-SM"|"No "|72024499|133851262
"SM"|"Yes"|72024499|133851263
"CH"|"Yes"|72024944|133852137
"CH"|"Yes"|72024942|133852135
"CH"|"Yes"|72024943|133852136
"CH"|"Yes"|72024998|133852231
"CL"|"No "|72024998|133852232
"SC-SM"|"Yes"|72024999|133852233
"SC"|"No "|72024999|133852234
"SM"|"No "|72024999|133852235
"CH"|"Yes"|72024997|133852228
"MH"|"No "|72024997|133852229
"CL"|"No "|72024997|133852230
"CH"|"Yes"|72025003|133852243
"MH"|"No "|72025003|133852244
"CL"|"No "|72025003|133852245
"CH"|"Yes"|72025004|133852246
"CL"|"No "|72025004|133852247
"SC-SM"|"Yes"|72025005|133852248
"SM"|"No "|72025005|133852249
