"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"SC-SM"|"Yes"|72052018|133903752
"CL"|"No "|72052018|133903753
"SM"|"No "|72052018|133903754
"CL"|"Yes"|72051975|133903671
"CH"|"No "|72051975|133903672
"SC"|"No "|72051975|133903673
"SM"|"No "|72051970|133903661
"SC"|"Yes"|72051970|133903662
"CL"|"No "|72051974|133903669
"CH"|"Yes"|72051974|133903670
"SM"|"No "|72051972|133903665
"SC"|"Yes"|72051972|133903666
"CL"|"No "|72051971|133903663
"SC"|"Yes"|72051971|133903664
"CL"|"No "|72051973|133903667
"CH"|"Yes"|72051973|133903668
"CL"|"Yes"|72051547|133902796
"CH"|"No "|72051547|133902797
"SC"|"No "|72051547|133902798
"CH"|"Yes"|72051545|133902792
"CL"|"No "|72051545|133902793
"CL"|"Yes"|72051546|133902794
"CH"|"No "|72051546|133902795
"CL-ML"|"Yes"|72051544|133902789
"CL"|"No "|72051544|133902790
"SM"|"No "|72051544|133902791
"SC-SM"|"Yes"|72052020|133903758
"SC"|"No "|72052020|133903759
"GM"|"No "|72052020|133903760
"CH"|"Yes"|72052021|133903761
"CL"|"No "|72052021|133903762
"CL"|"Yes"|72052022|133903763
"CH"|"No "|72052022|133903764
"CL"|"Yes"|72052023|133903765
"CH"|"No "|72052023|133903766
"SC"|"No "|72052023|133903767
"CL"|"Yes"|72051548|133902799
"CH"|"No "|72051548|133902800
"CH"|"Yes"|72051549|133902801
"CL"|"No "|72051549|133902802
"CL"|"Yes"|72051550|133902803
"CH"|"No "|72051550|133902804
"SC"|"No "|72051550|133902805
"CL"|"Yes"|72051585|133902869
"CL-ML"|"No "|72051585|133902870
"CL"|"Yes"|72051586|133902871
"ML"|"No "|72051586|133902872
"CL"|"Yes"|72051587|133902873
"CH"|"No "|72051587|133902874
"CL-ML"|"No "|72052004|133903723
"CL"|"Yes"|72052004|133903724
"CH"|"No "|72052006|133903727
"CL"|"Yes"|72052006|133903728
"CL-ML"|"No "|72052003|133903721
"CL"|"Yes"|72052003|133903722
"ML"|"No "|72052005|133903725
"CL"|"Yes"|72052005|133903726
"CL-ML"|"Yes"|72052024|133903768
"CL"|"No "|72052024|133903769
"SM"|"No "|72052024|133903770
"CH"|"Yes"|72052026|133903773
"CL"|"No "|72052026|133903774
"CL"|"Yes"|72052025|133903771
"CL-ML"|"No "|72052025|133903772
"CL"|"Yes"|72052029|133903778
"ML"|"No "|72052029|133903779
"ML"|"No "|72052028|133903776
"CL"|"Yes"|72052028|133903777
"CL"|"Yes"|72052030|133903780
"CH"|"Yes"|72052031|133903781
"CL"|"No "|72052031|133903782
"CL"|"Yes"|72052027|133903775
"CH"|"No "|72052035|133903791
"CL"|"Yes"|72052035|133903792
"CL"|"Yes"|72052034|133903789
"CH"|"No "|72052034|133903790
"CL-ML"|"No "|72052033|133903786
"ML"|"Yes"|72052033|133903787
"SM"|"No "|72052033|133903788
"CL-ML"|"No "|72052032|133903783
"ML"|"Yes"|72052032|133903784
"SM"|"No "|72052032|133903785
"CH"|"Yes"|72052036|133903793
"CL-ML"|"No "|72052040|133903802
"CL"|"Yes"|72052040|133903803
"SM"|"No "|72052038|133903797
"CL-ML"|"No "|72052038|133903798
"ML"|"Yes"|72052038|133903799
"CH"|"Yes"|72052042|133903806
"CL"|"Yes"|72052041|133903804
"CH"|"No "|72052041|133903805
"CL-ML"|"No "|72052039|133903800
"CL"|"Yes"|72052039|133903801
"ML"|"Yes"|72052037|133903794
"SM"|"No "|72052037|133903795
"CL-ML"|"No "|72052037|133903796
"SC-SM"|"Yes"|72051558|133902822
"SC"|"No "|72051558|133902823
"SM"|"No "|72051558|133902824
"SC"|"Yes"|72051560|133902827
"CL"|"No "|72051560|133902828
"SC"|"Yes"|72051559|133902825
"CL"|"No "|72051559|133902826
"SC-SM"|"Yes"|72051561|133902829
"SC"|"No "|72051561|133902830
"SM"|"No "|72051561|133902831
"CL"|"Yes"|72052282|133904299
"SC"|"No "|72052282|133904300
"SC-SM"|"Yes"|72052280|133904293
"SC"|"No "|72052280|133904294
"SM"|"No "|72052280|133904295
"SC"|"No "|72052281|133904296
"SM"|"No "|72052281|133904297
"SC-SM"|"Yes"|72052281|133904298
"SC"|"No "|72052283|133904301
"CL"|"Yes"|72052283|133904302
"CH"|"No "|72052287|133904310
"CL"|"Yes"|72052287|133904311
"CL"|"Yes"|72052286|133904307
"CH"|"No "|72052286|133904308
"SC"|"No "|72052286|133904309
"ML"|"No "|72052284|133904303
"CL"|"Yes"|72052284|133904304
"CH"|"Yes"|72052288|133904312
"ML"|"No "|72052285|133904305
"CL"|"Yes"|72052285|133904306
"SC-SM"|"No "|72051627|133902961
"CL"|"Yes"|72051627|133902962
"SC-SM"|"No "|72051628|133902963
"CL"|"Yes"|72051628|133902964
"SC-SM"|"No "|72051631|133902969
"CL"|"Yes"|72051631|133902970
"CL"|"Yes"|72051629|133902965
"CH"|"No "|72051629|133902966
"CL"|"Yes"|72051630|133902967
"ML"|"No "|72051630|133902968
"CL-ML"|"Yes"|72051822|133903359
"CL"|"No "|72051822|133903360
"SM"|"No "|72051822|133903361
"CL-ML"|"Yes"|72051823|133903362
"CL"|"No "|72051823|133903363
"SM"|"No "|72051823|133903364
"CL"|"Yes"|72051824|133903365
"SC-SM"|"No "|72051824|133903366
"CL"|"Yes"|72051825|133903367
"SC-SM"|"No "|72051825|133903368
"SM"|"Yes"|72051637|133902982
"CL"|"No "|72051637|133902983
"SC"|"Yes"|72051638|133902984
"CL"|"No "|72051638|133902985
"SC-SM"|"No "|72051638|133902986
"SC-SM"|"Yes"|72051636|133902979
"CL"|"No "|72051636|133902980
"SM"|"No "|72051636|133902981
"SC"|"Yes"|72051639|133902987
"CL"|"No "|72051639|133902988
"SC-SM"|"No "|72051639|133902989
"CL"|"Yes"|72051640|133902990
"SC"|"No "|72051640|133902991
"CL"|"Yes"|72051641|133902992
"CH"|"No "|72051641|133902993
"SC-SM"|"No "|72051761|133903247
"SM"|"Yes"|72051761|133903248
"CL-ML"|"No "|72051762|133903249
"ML"|"Yes"|72051762|133903250
"CL-ML"|"No "|72051764|133903253
"CL"|"Yes"|72051764|133903254
"SC-SM"|"No "|72051763|133903251
"SM"|"Yes"|72051763|133903252
"SC-SM"|"No "|72051768|133903259
"SM"|"Yes"|72051768|133903260
"ML"|"No "|72051769|133903261
"CL"|"Yes"|72051769|133903262
"CL"|"Yes"|72051767|133903258
"ML"|"No "|72051765|133903255
"CL"|"Yes"|72051765|133903256
"CL"|"Yes"|72051766|133903257
"SM"|"Yes"|72051840|133903398
"SC-SM"|"No "|72051840|133903399
"SP-SM"|"No "|72051840|133903400
"SM"|"Yes"|72051841|133903401
"SC-SM"|"No "|72051841|133903402
"SP-SM"|"No "|72051841|133903403
"SM"|"Yes"|72051842|133903404
"OL"|"No "|72051842|133903405
"SM"|"No "|72051530|133902761
"CL"|"No "|72051530|133902762
"SC"|"Yes"|72051530|133902763
"SM"|"No "|72051531|133902764
"CL"|"No "|72051531|133902765
"SC"|"Yes"|72051531|133902766
"SM"|"No "|72051532|133902767
"CL"|"No "|72051532|133902768
"SC-SM"|"Yes"|72051532|133902769
"CL"|"Yes"|72051843|133903406
"CL"|"Yes"|72051844|133903407
"ML"|"Yes"|72051845|133903408
"CL-ML"|"No "|72051845|133903409
"CL"|"Yes"|72052043|133903807
"ML"|"Yes"|72052045|133903809
"CL-ML"|"No "|72052045|133903810
"CL"|"Yes"|72052044|133903808
"SC-SM"|"No "|72051435|133902562
"SM"|"Yes"|72051435|133902563
"SC"|"Yes"|72051436|133902564
"CL"|"No "|72051436|133902565
"SC"|"Yes"|72051437|133902566
"CL"|"No "|72051437|133902567
"SM"|"Yes"|72051434|133902560
"SC-SM"|"No "|72051434|133902561
"SC"|"Yes"|72051439|133902572
"CH"|"No "|72051439|133902573
"CH"|"Yes"|72051440|133902574
"CL"|"No "|72051440|133902575
"CL"|"No "|72051438|133902568
"CL-ML"|"No "|72051438|133902569
"SC"|"Yes"|72051438|133902570
"SC-SM"|"No "|72051438|133902571
"CL"|"Yes"|72052047|133903814
"CH"|"No "|72052047|133903815
"SC"|"No "|72052047|133903816
"CH"|"Yes"|72052049|133903819
"CL"|"No "|72052049|133903820
"CL"|"Yes"|72052048|133903817
"CH"|"No "|72052048|133903818
"SC"|"Yes"|72052046|133903811
"CL"|"No "|72052046|133903812
"SC-SM"|"No "|72052046|133903813
"CH"|"Yes"|72051554|133902814
"CL"|"No "|72051554|133902815
"CL"|"Yes"|72051553|133902812
"CH"|"No "|72051553|133902813
"CL"|"Yes"|72051552|133902809
"CH"|"No "|72051552|133902810
"SC"|"No "|72051552|133902811
"SC"|"Yes"|72051551|133902806
"CL"|"No "|72051551|133902807
"SC-SM"|"No "|72051551|133902808
"CL"|"Yes"|72052091|133903900
"CH"|"No "|72052091|133903901
"SC"|"No "|72052091|133903902
"CH"|"Yes"|72052090|133903898
"CL"|"No "|72052090|133903899
"CL"|"Yes"|72052089|133903896
"CH"|"No "|72052089|133903897
"CL"|"Yes"|72052088|133903893
"CH"|"No "|72052088|133903894
"SC"|"No "|72052088|133903895
"SM"|"Yes"|72051770|133903263
"SC"|"No "|72051770|133903264
"CL"|"No "|72051771|133903265
"SC-SM"|"No "|72051771|133903266
"SC"|"Yes"|72051771|133903267
"CL"|"No "|72051772|133903268
"SC-SM"|"No "|72051772|133903269
"SC"|"Yes"|72051772|133903270
"SM"|"Yes"|72051774|133903273
"SC"|"No "|72051774|133903274
"SM"|"Yes"|72051773|133903271
"SC"|"No "|72051773|133903272
"SC"|"No "|72051526|133902751
"MH"|"No "|72051526|133902752
"CH"|"Yes"|72051526|133902753
"SC"|"No "|72051528|133902757
"SM"|"Yes"|72051528|133902758
"SC"|"No "|72051527|133902754
"SC-SM"|"Yes"|72051527|133902755
"SM"|"No "|72051527|133902756
"SC"|"No "|72051524|133902746
"MH"|"No "|72051524|133902747
"CH"|"Yes"|72051524|133902748
"SC"|"No "|72051525|133902749
"CH"|"Yes"|72051525|133902750
"SC"|"No "|72051529|133902759
"CL"|"Yes"|72051529|133902760
"CL"|"Yes"|72051692|133903100
"CL-ML"|"No "|72051692|133903101
"CL-ML"|"Yes"|72051694|133903104
"CL"|"No "|72051694|133903105
"ML"|"No "|72051694|133903106
"CH"|"Yes"|72051691|133903098
"CL"|"No "|72051691|133903099
"CL"|"Yes"|72051693|133903102
"CL-ML"|"No "|72051693|133903103
"ML"|"No "|72051696|133903109
"CL"|"Yes"|72051696|133903110
"CL"|"No "|72051699|133903116
"CH"|"Yes"|72051699|133903117
"CL"|"Yes"|72051695|133903107
"ML"|"No "|72051695|133903108
"CL"|"No "|72051698|133903113
"CL-ML"|"No "|72051698|133903114
"ML"|"Yes"|72051698|133903115
"CL"|"No "|72051697|133903111
"ML"|"Yes"|72051697|133903112
"CL"|"No "|72051702|133903122
"ML"|"Yes"|72051702|133903123
"CL"|"No "|72051703|133903124
"CL-ML"|"No "|72051703|133903125
"ML"|"Yes"|72051703|133903126
"CL"|"No "|72051704|133903127
"CH"|"Yes"|72051704|133903128
"ML"|"No "|72051700|133903118
"CL"|"Yes"|72051700|133903119
"ML"|"No "|72051701|133903120
"CL"|"Yes"|72051701|133903121
"CL"|"Yes"|72051706|133903131
"CL-ML"|"No "|72051706|133903132
"ML"|"Yes"|72051708|133903136
"CL-ML"|"No "|72051708|133903137
"CH"|"Yes"|72051705|133903129
"CL"|"No "|72051705|133903130
"ML"|"Yes"|72051707|133903133
"CL-ML"|"No "|72051707|133903134
"SM"|"No "|72051707|133903135
"CH"|"Yes"|72051709|133903138
"CL"|"No "|72051709|133903139
"CL"|"Yes"|72051710|133903140
"CL-ML"|"No "|72051710|133903141
"CL-ML"|"Yes"|72051712|133903144
"CL"|"No "|72051712|133903145
"ML"|"No "|72051712|133903146
"CL"|"Yes"|72051711|133903142
"CL-ML"|"No "|72051711|133903143
"SM"|"Yes"|72051714|133903149
"SC-SM"|"No "|72051714|133903150
"CL"|"Yes"|72051715|133903151
"SC"|"No "|72051715|133903152
"CL"|"Yes"|72051716|133903153
"SC"|"No "|72051716|133903154
"SM"|"Yes"|72051713|133903147
"SC-SM"|"No "|72051713|133903148
"SP-SC"|"No "|72051466|133902625
"SP-SM"|"Yes"|72051466|133902626
"SP-SC"|"No "|72051467|133902627
"SP-SM"|"Yes"|72051467|133902628
"SP-SM"|"Yes"|72052092|133903903
"SP-SM"|"Yes"|72052093|133903904
"SC-SM"|"Yes"|72052095|133903908
"SM"|"No "|72052095|133903909
"SC"|"No "|72052095|133903910
"SM"|"No "|72052094|133903905
"SC-SM"|"Yes"|72052094|133903906
"SC"|"No "|72052094|133903907
"CL"|"Yes"|72052096|133903911
"SC"|"No "|72052096|133903912
"SC"|"No "|72052097|133903913
"CL"|"Yes"|72052097|133903914
"SP-SM"|"Yes"|72051720|133903162
"SP-SM"|"Yes"|72051721|133903163
"SC-SM"|"Yes"|72051723|133903167
"SM"|"No "|72051723|133903168
"SC"|"No "|72051723|133903169
"CL"|"Yes"|72051724|133903170
"SC"|"No "|72051724|133903171
"SM"|"No "|72051722|133903164
"SC-SM"|"Yes"|72051722|133903165
"SC"|"No "|72051722|133903166
"SC"|"No "|72051725|133903172
"CL"|"Yes"|72051725|133903173
"CL"|"Yes"|72052053|133903825
"SC"|"No "|72052053|133903826
"CL"|"Yes"|72052054|133903827
"SC-SM"|"No "|72052054|133903828
"CL"|"Yes"|72052052|133903823
"SC"|"No "|72052052|133903824
"SC-SM"|"Yes"|72052055|133903829
"CL"|"No "|72052055|133903830
"SM"|"No "|72052055|133903831
"ML"|"Yes"|72052099|133903918
"CL-ML"|"No "|72052099|133903919
"SM"|"No "|72052099|133903920
"ML"|"Yes"|72052098|133903915
"CL-ML"|"No "|72052098|133903916
"SM"|"No "|72052098|133903917
"CH"|"Yes"|72052056|133903832
"SC"|"No "|72052056|133903833
"CL"|"Yes"|72052059|133903838
"SM"|"No "|72052059|133903839
"CH"|"Yes"|72052058|133903836
"CL"|"No "|72052058|133903837
"CH"|"Yes"|72052057|133903834
"CL"|"No "|72052057|133903835
"CL"|"No "|72052063|133903844
"CH"|"Yes"|72052063|133903845
"CH"|"No "|72052064|133903846
"CL"|"Yes"|72052064|133903847
"CH"|"No "|72052066|133903851
"CL"|"Yes"|72052066|133903852
"CL"|"Yes"|72052061|133903842
"CL"|"Yes"|72052062|133903843
"SM"|"No "|72052060|133903840
"ML"|"Yes"|72052060|133903841
"ML"|"Yes"|72052065|133903848
"SM"|"No "|72052065|133903849
"CL-ML"|"No "|72052065|133903850
"CH"|"Yes"|72051877|133903471
"CL"|"No "|72051877|133903472
"CH"|"Yes"|72051876|133903469
"CL"|"No "|72051876|133903470
"CL"|"Yes"|72051878|133903473
"SM"|"No "|72051878|133903474
"CL"|"Yes"|72051875|133903466
"CH"|"No "|72051875|133903467
"SC-SM"|"No "|72051875|133903468
"CL"|"Yes"|72051881|133903481
"SC"|"No "|72051881|133903482
"SC-SM"|"Yes"|72051880|133903478
"SM"|"No "|72051880|133903479
"SC"|"No "|72051880|133903480
"SC"|"No "|72051879|133903475
"SM"|"No "|72051879|133903476
"SC-SM"|"Yes"|72051879|133903477
"SC"|"No "|72051882|133903483
"CL"|"Yes"|72051882|133903484
"CL"|"Yes"|72051832|133903380
"CH"|"No "|72051832|133903381
"CL"|"Yes"|72051827|133903371
"CL"|"No "|72051829|133903373
"CH"|"Yes"|72051829|133903374
"CH"|"No "|72051830|133903375
"CL"|"Yes"|72051830|133903376
"ML"|"Yes"|72051826|133903369
"SM"|"No "|72051826|133903370
"ML"|"Yes"|72051831|133903377
"SM"|"No "|72051831|133903378
"CL-ML"|"No "|72051831|133903379
"CL"|"Yes"|72051828|133903372
"CL-ML"|"No "|72051834|133903384
"CL"|"Yes"|72051834|133903385
"SC"|"Yes"|72051836|133903389
"SM"|"No "|72051836|133903390
"CL"|"Yes"|72051833|133903382
"SC"|"No "|72051833|133903383
"CL"|"No "|72051835|133903386
"SM"|"No "|72051835|133903387
"SC-SM"|"Yes"|72051835|133903388
"CL"|"Yes"|72051837|133903391
"SC-SM"|"No "|72051837|133903392
"CH"|"Yes"|72051838|133903393
"SC"|"No "|72051838|133903394
"ML"|"Yes"|72051839|133903395
"CL-ML"|"No "|72051839|133903396
"SM"|"No "|72051839|133903397
"CH"|"No "|72052215|133904167
"CL"|"Yes"|72052215|133904168
"CH"|"Yes"|72052216|133904169
"CL"|"Yes"|72052213|133904163
"SM"|"No "|72052213|133904164
"CL"|"Yes"|72052214|133904165
"CH"|"No "|72052214|133904166
"CH"|"No "|72052223|133904181
"CL"|"Yes"|72052223|133904182
"CL"|"Yes"|72052219|133904175
"CL"|"Yes"|72052222|133904179
"CH"|"No "|72052222|133904180
"CL"|"No "|72052221|133904177
"CH"|"Yes"|72052221|133904178
"CL"|"Yes"|72052220|133904176
"ML"|"Yes"|72052217|133904170
"SM"|"No "|72052217|133904171
"SM"|"No "|72052218|133904172
"CL-ML"|"No "|72052218|133904173
"ML"|"Yes"|72052218|133904174
"CH"|"No "|72051688|133903093
"CL"|"Yes"|72051688|133903094
"CH"|"Yes"|72051690|133903097
"SM"|"No "|72051686|133903087
"CL-ML"|"No "|72051686|133903088
"ML"|"Yes"|72051686|133903089
"CL-ML"|"No "|72051687|133903090
"SM"|"No "|72051687|133903091
"ML"|"Yes"|72051687|133903092
"CL"|"Yes"|72051689|133903095
"CH"|"No "|72051689|133903096
"CL"|"Yes"|72051850|133903417
"CH"|"No "|72051850|133903418
"CL"|"Yes"|72051848|133903415
"CL"|"Yes"|72051852|133903421
"CH"|"No "|72051852|133903422
"CL"|"No "|72051851|133903419
"CH"|"Yes"|72051851|133903420
"CL"|"Yes"|72051849|133903416
"SM"|"No "|72051847|133903412
"CL-ML"|"No "|72051847|133903413
"ML"|"Yes"|72051847|133903414
"SM"|"No "|72051846|133903410
"ML"|"Yes"|72051846|133903411
"CL-ML"|"No "|72052227|133904191
"CL"|"Yes"|72052227|133904192
"CL"|"No "|72052224|133904183
"CL-ML"|"Yes"|72052224|133904184
"ML"|"No "|72052224|133904185
"CL"|"No "|72052225|133904186
"CL-ML"|"Yes"|72052225|133904187
"ML"|"No "|72052225|133904188
"CL"|"No "|72052228|133904193
"CH"|"Yes"|72052228|133904194
"CL"|"Yes"|72052226|133904189
"CL-ML"|"No "|72052226|133904190
"ML"|"No "|72052230|133904197
"CL"|"Yes"|72052230|133904198
"CH"|"Yes"|72052233|133904204
"CL"|"No "|72052233|133904205
"ML"|"No "|72052229|133904195
"CL"|"Yes"|72052229|133904196
"CL"|"No "|72052232|133904201
"CL-ML"|"No "|72052232|133904202
"ML"|"Yes"|72052232|133904203
"CL"|"No "|72052231|133904199
"ML"|"Yes"|72052231|133904200
"ML"|"Yes"|72052234|133904206
"CL-ML"|"No "|72052234|133904207
"CL-ML"|"No "|72052235|133904208
"ML"|"Yes"|72052235|133904209
"CL-ML"|"No "|72052237|133904212
"CL"|"Yes"|72052237|133904213
"CL"|"No "|72052238|133904214
"CH"|"Yes"|72052238|133904215
"CL"|"Yes"|72052236|133904210
"CL-ML"|"No "|72052236|133904211
"CL"|"Yes"|72052165|133904069
"CL-ML"|"No "|72052165|133904070
"CL-ML"|"No "|72052163|133904064
"ML"|"Yes"|72052163|133904065
"SM"|"No "|72052163|133904066
"CH"|"Yes"|72052167|133904073
"CH"|"No "|72052166|133904071
"CL"|"Yes"|72052166|133904072
"CL"|"Yes"|72052164|133904067
"CL-ML"|"No "|72052164|133904068
"CL-ML"|"No "|72052162|133904061
"ML"|"Yes"|72052162|133904062
"SM"|"No "|72052162|133904063
"CH"|"No "|72052171|133904082
"CL"|"Yes"|72052171|133904083
"CL"|"Yes"|72052170|133904080
"CH"|"No "|72052170|133904081
"CL-ML"|"No "|72052169|133904077
"ML"|"Yes"|72052169|133904078
"SM"|"No "|72052169|133904079
"CH"|"Yes"|72052172|133904084
"CL-ML"|"No "|72052168|133904074
"ML"|"Yes"|72052168|133904075
"SM"|"No "|72052168|133904076
"ML"|"No "|72052174|133904087
"CL"|"Yes"|72052174|133904088
"ML"|"No "|72052173|133904085
"CL"|"Yes"|72052173|133904086
"CL"|"No "|72052175|133904089
"ML"|"Yes"|72052175|133904090
"CH"|"Yes"|72052177|133904094
"CL"|"No "|72052177|133904095
"CL"|"No "|72052176|133904091
"CL-ML"|"No "|72052176|133904092
"ML"|"Yes"|72052176|133904093
"CL"|"Yes"|72052181|133904102
"SM"|"No "|72052179|133904098
"CL-ML"|"No "|72052179|133904099
"ML"|"Yes"|72052179|133904100
"SM"|"No "|72052178|133904096
"ML"|"Yes"|72052178|133904097
"CL"|"Yes"|72052183|133904105
"CH"|"No "|72052183|133904106
"CL"|"Yes"|72052180|133904101
"CL"|"Yes"|72052184|133904107
"CH"|"No "|72052184|133904108
"CL"|"No "|72052182|133904103
"CH"|"Yes"|72052182|133904104
"CL"|"Yes"|72052199|133904136
"CL-ML"|"No "|72052199|133904137
"CL-ML"|"No "|72052197|133904131
"ML"|"Yes"|72052197|133904132
"SM"|"No "|72052197|133904133
"CH"|"Yes"|72052201|133904140
"CL-ML"|"No "|72052196|133904128
"SM"|"No "|72052196|133904129
"ML"|"Yes"|72052196|133904130
"CL"|"Yes"|72052198|133904134
"CL-ML"|"No "|72052198|133904135
"CH"|"No "|72052200|133904138
"CL"|"Yes"|72052200|133904139
"CH"|"No "|72052205|133904149
"CL"|"Yes"|72052205|133904150
"CL"|"Yes"|72052204|133904147
"CH"|"No "|72052204|133904148
"CL-ML"|"No "|72052202|133904141
"ML"|"Yes"|72052202|133904142
"SM"|"No "|72052202|133904143
"CH"|"Yes"|72052206|133904151
"CL-ML"|"No "|72052203|133904144
"ML"|"Yes"|72052203|133904145
"SM"|"No "|72052203|133904146
"ML"|"No "|72052208|133904154
"CL"|"Yes"|72052208|133904155
"ML"|"No "|72052207|133904152
"CL"|"Yes"|72052207|133904153
"CL"|"Yes"|72052209|133904156
"CL"|"No "|72052212|133904161
"CH"|"Yes"|72052212|133904162
"CL"|"No "|72052210|133904157
"CL-ML"|"No "|72052210|133904158
"ML"|"Yes"|72052210|133904159
"CL"|"Yes"|72052211|133904160
"CL"|"Yes"|72052144|133904020
"CH"|"No "|72052144|133904021
"CL"|"No "|72052142|133904015
"SC"|"Yes"|72052142|133904016
"SC-SM"|"No "|72052142|133904017
"CL"|"No "|72052141|133904012
"SC"|"Yes"|72052141|133904013
"SC-SM"|"No "|72052141|133904014
"CL"|"Yes"|72052143|133904018
"SC"|"No "|72052143|133904019
"SM"|"Yes"|72052140|133904010
"SC-SM"|"No "|72052140|133904011
"SC-SM"|"Yes"|72052139|133904007
"CL"|"No "|72052139|133904008
"SM"|"No "|72052139|133904009
"CL"|"Yes"|72052145|133904022
"SC"|"No "|72052145|133904023
"SM"|"No "|72052147|133904026
"SC-SM"|"Yes"|72052147|133904027
"CL"|"No "|72052147|133904028
"SM"|"No "|72052148|133904029
"SC"|"Yes"|72052148|133904030
"CL"|"Yes"|72052146|133904024
"CL-ML"|"No "|72052146|133904025
"SM"|"Yes"|72051657|133903029
"SC-SM"|"No "|72051657|133903030
"SC-SM"|"Yes"|72051658|133903031
"SM"|"No "|72051658|133903032
"SC-SM"|"Yes"|72051659|133903033
"SM"|"No "|72051659|133903034
