"comppct_l"|"comppct_r"|"comppct_h"|"compname"|"compkind"|"majcompflag"|"otherph"|"localphase"|"slope_l"|"slope_r"|"slope_h"|"slopelenusle_l"|"slopelenusle_r"|"slopelenusle_h"|"runoff"|"tfact"|"wei"|"weg"|"erocl"|"earthcovkind1"|"earthcovkind2"|"hydricon"|"hydricrating"|"drainagecl"|"elev_l"|"elev_r"|"elev_h"|"aspectccwise"|"aspectrep"|"aspectcwise"|"geomdesc"|"albedodry_l"|"albedodry_r"|"albedodry_h"|"airtempa_l"|"airtempa_r"|"airtempa_h"|"map_l"|"map_r"|"map_h"|"reannualprecip_l"|"reannualprecip_r"|"reannualprecip_h"|"ffd_l"|"ffd_r"|"ffd_h"|"nirrcapcl"|"nirrcapscl"|"nirrcapunit"|"irrcapcl"|"irrcapscl"|"irrcapunit"|"cropprodindex"|"constreeshrubgrp"|"wndbrksuitgrp"|"rsprod_l"|"rsprod_r"|"rsprod_h"|"foragesuitgrpid"|"wlgrain"|"wlgrass"|"wlherbaceous"|"wlshrub"|"wlconiferous"|"wlhardwood"|"wlwetplant"|"wlshallowwat"|"wlrangeland"|"wlopenland"|"wlwoodland"|"wlwetland"|"soilslippot"|"frostact"|"initsub_l"|"initsub_r"|"initsub_h"|"totalsub_l"|"totalsub_r"|"totalsub_h"|"hydgrp"|"corcon"|"corsteel"|"taxclname"|"taxorder"|"taxsuborder"|"taxgrtgroup"|"taxsubgrp"|"taxpartsize"|"taxpartsizemod"|"taxceactcl"|"taxreaction"|"taxtempcl"|"taxmoistscl"|"taxtempregime"|"soiltaxedition"|"castorieindex"|"flecolcomnum"|"flhe"|"flphe"|"flsoilleachpot"|"flsoirunoffpot"|"fltemik2use"|"fltriumph2use"|"indraingrp"|"innitrateleachi"|"misoimgmtgrp"|"vasoimgtgrp"|"mukey"|"cokey"
|5||"Mantachie"|"Series"|"No "|""|""|||||||""||||"Class 1"|"Tree cover"|"Hardwoods"|"Wooded under natural conditions"|"Yes"|"Somewhat poorly drained"|||||||"flood plains on coastal plains"||0.23|||||||||||||||""|||""|||"Not rated"|||||||||||||||||||""|||||||""|""|""|"Fine-loamy, siliceous, active, acid, thermic Fluventic Endoaquepts"|"Inceptisols"|"Aquepts"|"Endoaquepts"|"Fluventic Endoaquepts"|"fine-loamy"|"not used"|"active"|"acid"|"thermic"|""|""|""|||||||"N/A"|"N/A"|||||575648|24231791
|95||"Marietta"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|86|3|"Class 1"|"Tree cover"|"Hardwoods"|""|"No"|"Moderately well drained"|27|41|55|80|150|220|"flood plains on coastal plains"||0.23||17.5|19|20|1067|1219|1372||||235|248|260|4|"w"|||""|||"1f"|||||||||||||||||||"None"|0|0|0||||"B/D"|"Low"|"High"|"Fine-loamy, siliceous, active, thermic Fluvaquentic Eutrochrepts"|"Inceptisols"|"Ochrepts"|"Eutrochrepts"|"Fluvaquentic Eutrochrepts"|"fine-loamy"|"not used"|"active"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575648|24231792
|95||"Mollville"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|56|5|"None - deposition"|"Tree cover"|"Hardwoods"|"Wooded under natural conditions"|"Yes"|"Poorly drained"|46|92|137|80|150|220|"depressions on stream terraces on coastal plains"||0.23||18|19|20|1067|1245|1422||||220|240|260|4|"w"|||""|||"3"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"Moderate"|"Fine-loamy, siliceous, thermic Typic Glossaqualfs"|"Alfisols"|"Aqualfs"|"Glossaqualfs"|"Typic Glossaqualfs"|"fine-loamy"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575649|24232422
0|5|10|"Percilla"|"Series"|"No "|""|""|0|0.5|1|30|30|61|""||||"Class 1"|"Tree cover"|""|"Wooded under natural conditions"|"Yes"|"Poorly drained"|46|92|137|80|150|220|"depressions on interfluves on coastal plains"||||18|19|20|1067|1245|1422||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Aeric Epiaqualfs"|"Alfisols"|"Aqualfs"|"Epiaqualfs"|"Aeric Epiaqualfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575649|24232423
85|90|100|"Alto"|"Series"|"Yes"|""|""|1|2|3|61|61|91|"Low"|5|48|6|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|56.7|107.3|162|80|150|220|"saddles on interfluves on coastal plains"||0.3||12.2|18.5|24.9|1223|1354|1392||||239|241|246|1|""||1|""|||"1"|||||||||||||||||||"None"|0|0|0|0|0|0|"C"|"Moderate"|"High"|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575650|24232356
0|5|10|"Nacogdoches"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|56.7|107.3|162|80|150|220|"interfluves on coastal plains"||||12.2|18.5|24.9|1223|1354|1392||||239|241|246||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575650|24232357
0|5|10|"Chireno"|"Series"|"No "|""|""|0|1|2|30|61|91|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|56.7|107.3|162|80|150|220|"stream terraces on coastal plains"||||12.2|18.5|24.9|1223|1354|1392||||239|241|246||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, superactive, thermic Pachic Argiudolls"|"Mollisols"|"Udolls"|"Argiudolls"|"Pachic Argiudolls"|"fine"|"not used"|"superactive"|"not used"|"thermic"|"Typic"|"thermic"|"thirteenth edition"|||||||"N/A"|"N/A"|||||575650|24232358
5|10|15|"Hainesville"|"Series"|"No "|""|""|0|1|2|30|61|91|""||||"Class 1"|""|""|""|"No"|"Somewhat excessively drained"|17|58.5|133|0|135|360|"stream terraces on coastal plains"||||17.8|18.4|19|1117|1292|1397||||223|234|243||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Thermic, coated Lamellic Quartzipsamments"|"Entisols"|"Psamments"|"Quartzipsamments"|"Lamellic Quartzipsamments"|"not used"|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575651|24231936
40|50|60|"Mollville"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|56|5|"None - deposition"|"Tree cover"|"Intermixed conifers and hardwoods"|"Wooded under natural conditions"|"Yes"|"Poorly drained"|17|58.5|133|0|135|360|"open depressions on stream terraces on coastal plains"||0.29||17.8|18.4|19|1117|1292|1397||||223|234|243|4|"w"||4|"w"|||"10"|||||||||||||||||||"None"|0|0|0|0|0|0|"C/D"|"Moderate"|"High"|"Fine-loamy, siliceous, active, thermic Typic Glossaqualfs"|"Alfisols"|"Aqualfs"|"Glossaqualfs"|"Typic Glossaqualfs"|"fine-loamy"|"not used"|"active"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575651|24231937
35|40|45|"Besner"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|17|58.5|133|0|135|360|"mounds on stream terraces on coastal plains"||0.23||17.8|18.4|19|1117|1292|1397||||223|234|243|2|"e"||2|"e"|||"3"|||||||||||||||||||"None"|0|0|0|0|0|0|"B"|"Moderate"|"Moderate"|"Coarse-loamy, siliceous, semiactive, thermic Typic Glossudalfs"|"Alfisols"|"Udalfs"|"Glossudalfs"|"Typic Glossudalfs"|"coarse-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575651|24231938
|85||"Naclina"|"Series"|"Yes"|""|""|5|13|20|15|27|49|"Very high"|4|86|4|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|61|122|183|80|150|220|"interfluves on coastal plains"||0.16||18|19|19|1067|1194|1321||||230|238|245|6|"e"|||""|||"4c"|||||||||||||||||||"None"|0|0|0||||"D"|"Low"|"High"|"Fine, montmorillonitic, thermic Chromic Hapluderts"|"Vertisols"|"Uderts"|"Hapluderts"|"Chromic Hapluderts"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575652|24232230
10|15|20|"LaCerda"|"Series"|"No "|""|""|5|13|20|15|27|49|""||||"Class 1"|""|""|""|"No"|"Moderately well drained"|61|122|183|80|150|220|"interfluves on coastal plains"||||18|19|19|1067|1194|1321||||230|233|238||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Very-fine, smectitic, thermic Chromic Dystruderts"|"Vertisols"|"Uderts"|"Dystruderts"|"Chromic Dystruderts"|"very-fine"|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575652|24232231
|85||"Nacogdoches"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"High"|5|86|3|"Class 1"|"Grass/herbaceous cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575653|24232273
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575653|24232274
0|5|10|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575653|24232275
|85||"Nacogdoches"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"High"|5|56|5|"Class 1"|"Grass/herbaceous cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575654|24232279
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575654|24232280
0|5|10|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575654|24232281
|85||"Nacogdoches"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"High"|5|48|6|"Class 1"|"Grass/herbaceous cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575655|24232241
0|5|10|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575655|24232242
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575655|24232243
|85||"Nacogdoches"|"Series"|"Yes"|"ERODED"|"eroded"|2|4|5|49|55|91|"Medium"|5|48|6|"Class 1"|"Grass/herbaceous cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575656|24232429
0|5|10|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575656|24232430
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575656|24232431
|80||"Nacogdoches"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"High"|5|38|7|"Class 1"|"Grass/herbaceous cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575657|24232276
5|10|15|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575657|24232277
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575657|24232278
|45||"Nacogdoches"|"Series"|"Yes"|""|""|1|3|5|49|61|91|"Medium"|5|86|3|"Class 1"|"Artificial cover"|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||0.16||18|19|20|1143|1270|1397||||230|235|240|3|"e"|||""|||"4ca"|||||||||||||||||||"None"|0|0|0||||"C"|"Moderate"|"High"|"Fine, kaolinitic, thermic Rhodic Paleudalfs"|"Alfisols"|"Udalfs"|"Paleudalfs"|"Rhodic Paleudalfs"|"fine"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575658|24232264
5|10|15|"Trawick"|"Series"|"No "|""|""|8|14|20|15|24|40|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Mollic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Mollic Hapludalfs"|"fine"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575658|24232265
|35||"Urban land"|"Miscellaneous area"|"Yes"|""|""|1|3|5|49|61|91|"High"||0|8|"Class 1"|"Artificial cover"|"Urban and built-up"|""|"No"|""|0|610|1219||||"urban land on interfluves on coastal plains"||||12|18|23|203|864|1524||||180|245|310|8|""|||""|||"Not rated"|||||||||||||||||||"None"|0|0|0||||"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|"thermic"|""|||||||"N/A"|"N/A"|||||575658|24232266
5|10|15|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|122|168|213|80|150|220|"saddles on coastal plains"||||18|19|20|1143|1270|1397||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575658|24232267
|90||"Naconiche"|"Series"|"Yes"|""|""|0|1|2|30|61|91|"Very high"|5|134|2|"Class 1"|"Tree cover"|""|"Wooded under natural conditions"|"Yes"|"Very poorly drained"|128|133|137|80|150|220|"flood plains on coastal plains"||0.16||18|19|19|1067|1169|1270||||235|243|250|7|"w"|||""|||"10"|||||||||||||||||||"None"|0|0|0||||"A/D"|"High"|"Moderate"|"Sandy, siliceous, thermic Cumulic Humaquepts"|"Inceptisols"|"Aquepts"|"Humaquepts"|"Cumulic Humaquepts"|"sandy"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575659|24232268
0|10|10|"Rentzel"|"Series"|"No "|""|""|0|2|4|30|91|91|""||||"Class 1"|""|""|""|"No"|"Moderately well drained"|128|133|137|80|150|220|"interfluves on coastal plains"||||18|19|19|1067|1169|1270||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Loamy, siliceous, semiactive, thermic Arenic Plinthaquic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Plinthaquic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Udic"|"thermic"|"eleventh edition"|||||||"N/A"|"N/A"|||||575659|24232269
|46||"Naconiche"|"Series"|"Yes"|""|""|0|1|2|30|61|91|"Very high"|5|134|2|"Class 1"|"Tree cover"|""|"Wooded under natural conditions"|"Yes"|"Very poorly drained"|128|133|137|80|150|220|"flood plains on coastal plains"||0.16||18|19|19|1067|1169|1270||||235|243|250|7|"w"|||""|||"10"|||||||||||||||||||"None"|0|0|0||||"A/D"|"High"|"Moderate"|"Sandy, siliceous, thermic Cumulic Humaquepts"|"Inceptisols"|"Aquepts"|"Humaquepts"|"Cumulic Humaquepts"|"sandy"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575660|24232270
|44||"Urban land"|"Miscellaneous area"|"Yes"|""|""|0|1|2|30|61|91|"High"||0|8|"Class 1"|"Artificial cover"|"Urban and built-up"|""|"No"|""|0|610|1219||||"urban land on flood plains on coastal plains"||||12|18|23|203|864|1524||||180|245|310|8|""|||""|||"Not rated"|||||||||||||||||||"None"|0|0|0||||"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|"thermic"|""|||||||"N/A"|"N/A"|||||575660|24232271
0|10|10|"Rentzel"|"Series"|"No "|""|""|0|2|4|30|91|91|""||||"Class 1"|""|""|""|"No"|"Moderately well drained"|128|133|137|80|150|220|"interfluves on coastal plains"||||18|19|19|1067|1169|1270||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Loamy, siliceous, semiactive, thermic Arenic Plinthaquic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Plinthaquic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Udic"|"thermic"|"eleventh edition"|||||||"N/A"|"N/A"|||||575660|24232272
|90||"Angelina"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|56|5|"None - deposition"|"Tree cover"|"Hardwoods"|"Neither wooded nor farmable under natural conditions"|"Yes"|"Very poorly drained"|30|50|69|80|150|220|"flood plains on coastal plains"||0.3||18|19|19|1067|1194|1321||||230|238|245|6|"w"|||""|||"10"|||||||||||||||||||"None"|0|0|0||||"C/D"|"Moderate"|"High"|"Fine-loamy, siliceous, acid, thermic Typic Fluvaquents"|"Entisols"|"Aquents"|"Fluvaquents"|"Typic Fluvaquents"|"fine-loamy"|"not used"|"not used"|"acid"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575661|24232122
5|10|15|"Iulus"|"Series"|"No "|""|""|0|0.5|1|30|30|61|""||||"Class 1"|""|""|""|"No"|"Moderately well drained"|30|50|69|80|150|220|"flood plains on coastal plains"||||18|19|19|1067|1194|1321||||||||""|||""|||"10"|||||||||||||||||||"None"|||||||""|""|""|"Coarse-loamy, siliceous, active, thermic Fluvaquentic Dystrudepts"|"Inceptisols"|"Udepts"|"Dystrudepts"|"Fluvaquentic Dystrudepts"|"coarse-loamy"|"not used"|"active"|"not used"|"thermic"|"Aquic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575661|24232123
90|95|100|"Percilla"|"Series"|"Yes"|""|""|0|0.5|1|30|30|61|"Negligible"|5|48|6|"Class 1"|"Tree cover"|"Hardwoods"|"Wooded under natural conditions"|"Yes"|"Poorly drained"|57.2|96.2|214|0|183|360|"depressions on interfluves on coastal plains"||0.23||12.3|18.7|25.1|1141|1218|1393||||240|245|255|4|"w"||4|"w"|||"10"|||||||||||||||||||"None"|0|0|0|0|0|0|"D"|"Moderate"|"High"|"Fine, mixed, active, thermic Aeric Epiaqualfs"|"Alfisols"|"Aqualfs"|"Epiaqualfs"|"Aeric Epiaqualfs"|"fine"|"not used"|"active"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575662|24232354
0|5|10|"Alto"|"Series"|"No "|""|""|0|0.5|1|30|30|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|57.2|96.2|214|0|183|360|"interfluves on coastal plains"||||12.3|18.7|25.1|1141|1218|1393||||240|245|255||""|||""|||"Not rated"|||||||||||||||||||"None"|0|0|0|0|0|0|""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575662|24232355
|100||"Pits"|"Miscellaneous area"|"Yes"|""|""|0|45|90|15|15|91|"Low"||0|8|"Class 1"|"Barren land"|"Culturally induced barren"|""|"No"|"Well drained"|6|1337|2667||||"borrow pits on interfluves on coastal plains"||||12|18|23|229|826|1422||||180|265|350|8|""|||""|||"Not rated"|||||||||||||||||||"None"|0|0|0||||"D"|""|""|""|""|""|""|""|""|""|""|""|""|""|"thermic"|""|||||||"N/A"|"N/A"|||||575663|24231930
85|90|100|"Rentzel"|"Series"|"Yes"|""|""|0|2|5|30|91|91|"Low"|5|134|2|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|37|101|223|80|150|220|"interfluves on coastal plains"||0.3||17|18|19|1067|1238|1397||||205|225|237|3|"w"||3|"w"|||"1s"|||||||||||||||||||"None"|0|0|0|0|0|0|"C/D"|"High"|"High"|"Loamy, siliceous, semiactive, thermic Arenic Plinthaquic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Plinthaquic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Aquic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575664|24231963
