"comppct_l"|"comppct_r"|"comppct_h"|"compname"|"compkind"|"majcompflag"|"otherph"|"localphase"|"slope_l"|"slope_r"|"slope_h"|"slopelenusle_l"|"slopelenusle_r"|"slopelenusle_h"|"runoff"|"tfact"|"wei"|"weg"|"erocl"|"earthcovkind1"|"earthcovkind2"|"hydricon"|"hydricrating"|"drainagecl"|"elev_l"|"elev_r"|"elev_h"|"aspectccwise"|"aspectrep"|"aspectcwise"|"geomdesc"|"albedodry_l"|"albedodry_r"|"albedodry_h"|"airtempa_l"|"airtempa_r"|"airtempa_h"|"map_l"|"map_r"|"map_h"|"reannualprecip_l"|"reannualprecip_r"|"reannualprecip_h"|"ffd_l"|"ffd_r"|"ffd_h"|"nirrcapcl"|"nirrcapscl"|"nirrcapunit"|"irrcapcl"|"irrcapscl"|"irrcapunit"|"cropprodindex"|"constreeshrubgrp"|"wndbrksuitgrp"|"rsprod_l"|"rsprod_r"|"rsprod_h"|"foragesuitgrpid"|"wlgrain"|"wlgrass"|"wlherbaceous"|"wlshrub"|"wlconiferous"|"wlhardwood"|"wlwetplant"|"wlshallowwat"|"wlrangeland"|"wlopenland"|"wlwoodland"|"wlwetland"|"soilslippot"|"frostact"|"initsub_l"|"initsub_r"|"initsub_h"|"totalsub_l"|"totalsub_r"|"totalsub_h"|"hydgrp"|"corcon"|"corsteel"|"taxclname"|"taxorder"|"taxsuborder"|"taxgrtgroup"|"taxsubgrp"|"taxpartsize"|"taxpartsizemod"|"taxceactcl"|"taxreaction"|"taxtempcl"|"taxmoistscl"|"taxtempregime"|"soiltaxedition"|"castorieindex"|"flecolcomnum"|"flhe"|"flphe"|"flsoilleachpot"|"flsoirunoffpot"|"fltemik2use"|"fltriumph2use"|"indraingrp"|"innitrateleachi"|"misoimgmtgrp"|"vasoimgtgrp"|"mukey"|"cokey"
0|5|7|"Ruston"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|46|115|183|80|150|220|"coastal plains, interfluves"||||18|20|21|1016|1143|1270||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, semiactive, thermic Typic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Typic Paleudults"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575621|24232062
85|90|100|"Bowie"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"Medium"|5|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|46|115|183|80|150|220|"interfluves on coastal plains"||0.23||18|20|21|1016|1143|1270||||220|235|250|3|"e"||3|"e"|||"1a"|||||||||||||||||||"None"|0|0|0|0|0|0|"C"|"Moderate"|"High"|"Fine-loamy, siliceous, semiactive, thermic Plinthic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Plinthic Paleudults"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575621|24232063
0|5|8|"Kirvin"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|46|115|183|80|150|220|"interfluves on coastal plains"||||18|20|21|1016|1143|1270||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, semiactive, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"fine"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575621|24232064
70|85|100|"Briley"|"Series"|"Yes"|""|""|1|5|8|40|49|91|"Low"|5|134|2|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|61|122|183|0|135|360|"interfluves on coastal plains"||0.3||14|17|20|1092|1312|1524||||200|250|275|4|"e"||4|"e"|||"3"|||||||||||||||||||"None"|0|0|0|0|0|0|"B"|"Moderate"|"Moderate"|"Loamy, siliceous, semiactive, thermic Arenic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575622|24232282
0|5|10|"Bowie"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|61|122|183|0|135|360|"interfluves on coastal plains"||||14|17|20|1092|1312|1524||||200|250|275||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine-loamy, siliceous, semiactive, thermic Plinthic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Plinthic Paleudults"|"fine-loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575622|24232283
0|5|10|"Betis"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|61|122|183|0|135|360|"interfluves on coastal plains"||||14|17|20|1092|1312|1524||||200|250|275||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Sandy, siliceous, thermic Lamellic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Lamellic Paleudults"|"sandy"|"not used"|"not used"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575622|24232284
0|5|10|"Kirvin"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|61|122|183|0|135|360|"interfluves on coastal plains"||||14|17|20|1092|1312|1524||||200|250|275||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, semiactive, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"fine"|"not used"|"semiactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575622|24232285
0|5|10|"Alto"|"Series"|"No "|""|""|0|1|1|30|61|61|"Negligible"||||"Class 1"|""|""|""|"No"|"Moderately well drained"|85|134|183|80|150|220|"coastal plains, saddles"|||||||1016|1143|1270||||||||""|||""|||"Not rated"|||||||||||||||||||""|||||||""|""|""|"Fine-loamy, siliceous, active, thermic Typic Hapludalfs"|"Alfisols"|"Udalfs"|"Hapludalfs"|"Typic Hapludalfs"|"fine-loamy"|"not used"|"active"|""|"thermic"|""|""|""|||||||"N/A"|"N/A"|||||575623|24232352
90|95|100|"Chireno"|"Series"|"Yes"|""|""|0|1|2|30|61|91|"High"|5|48|6|"Class 1"|"Grass/herbaceous cover"|"Tame pastureland"|""|"No"|"Moderately well drained"|85|134|183|80|150|220|"stream terraces on coastal plains"||0.17||18|19|20|1016|1143|1270||||235|240|245|2|"s"||2|"s"|||"4c"|||||||||||||||||||"None"|0|0|0|0|0|0|"C"|"Low"|"High"|"Fine, mixed, superactive, thermic Pachic Argiudolls"|"Mollisols"|"Udolls"|"Argiudolls"|"Pachic Argiudolls"|"fine"|"not used"|"superactive"|"not used"|"thermic"|"Typic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575623|24232353
|80||"Cuthbert"|"Series"|"Yes"|""|""|8|14|20|15|24|40|"High"|3|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||0.23||17|18|19|1016|1219|1422||||235|253|270|6|"e"|||""|||"6a"|||||||||||||||||||"None"|0|0|0||||"C"|"High"|"Moderate"|"Clayey, mixed, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"clayey"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575624|24232410
