"musym"|"muname"|"mustatus"|"slopegraddcp"|"slopegradwta"|"brockdepmin"|"wtdepannmin"|"wtdepaprjunmin"|"flodfreqdcd"|"flodfreqmax"|"pondfreqprs"|"aws025wta"|"aws050wta"|"aws0100wta"|"aws0150wta"|"drclassdcd"|"drclasswettest"|"hydgrpdcd"|"iccdcd"|"iccdcdpct"|"niccdcd"|"niccdcdpct"|"engdwobdcd"|"engdwbdcd"|"engdwbll"|"engdwbml"|"engstafdcd"|"engstafll"|"engstafml"|"engsldcd"|"engsldcp"|"englrsdcd"|"engcmssdcd"|"engcmssmp"|"urbrecptdcd"|"urbrecptwta"|"forpehrtdcp"|"hydclprs"|"awmmfpwwta"|"mukey"
"DaE"|"Darco loamy fine sand, 8 to 15 percent slopes"||12|11.6||||"None"|"None"|0|2|4|8|12|"Somewhat excessively drained"|"Somewhat excessively drained"|"A"|6|80|6|80|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.849|"Moderate"|0|1|578213
"DeA"|"Derly silt loam, 0 to 1 percent slopes, frequently ponded"||0.5|0.6||0|0|"None"|"None"|90|3.64|6.98|13.48|19.98|"Poorly drained"|"Poorly drained"|"D"||100|4|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Slight"|90|1|578214
"Dr"|"Dreka loam, 0 to 1 percent slopes, frequently flooded"||0.5|0.5||25|25|"Frequent"|"Frequent"|0|3.75|7.5|15|22.5|"Somewhat poorly drained"|"Somewhat poorly drained"|"C/D"|5|90|5|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Slight"|90|1|578215
"Es"|"Estes clay, 0 to 1 percent slopes, frequently flooded"||0.5|0.5||23|23|"Frequent"|"Frequent"|0|3.25|7|14.5|22|"Somewhat poorly drained"|"Somewhat poorly drained"|"D"|5|90|5|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Slight"|90|1|578216
"GaA"|"Gallime-Alazan complex, 0 to 2 percent slopes"||2|1.6||61|61|"None"|"None"|5|3.5|7.09|14.6|22.42|"Well drained"|"Moderately well drained"|"B"||100|2|95|"Not limited"|"Somewhat limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.089|"Slight"|5|0.436|578217
"Ha"|"Hannahatchee fine sandy loam, 0 to 1 percent slopes, occasionally flooded"||0.5|0.5||122|122|"Occasional"|"Occasional"|0|3.45|7.2|14.7|22.2|"Well drained"|"Well drained"|"B"|3|90|2|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.077|"Slight"|0|0.6|578218
"KaA"|"Kawah fine sand, 0 to 2 percent slopes"||1|1.1||76|76|"None"|"None"|0|1.5|3|6|9|"Somewhat poorly drained"|"Somewhat poorly drained"|"A"|3|90|3|90|"Not limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Good"|"Good"|"Very limited"|1|"Slight"|5|1|578220
"Kc"|"Keechi fine sandy loam, frequently flooded"||0.5|0.5||0|0|"Frequent"|"Frequent"|90|3.18|6.18|12.18|18.18|"Very poorly drained"|"Very poorly drained"|"B/D"||100|7|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Slight"|97|1|578221
"KfC"|"Kirvin fine sandy loam, 1 to 5 percent slopes"||3|3.1||||"None"|"None"|0|3.25|6.9|14.4|21.85|"Well drained"|"Well drained"|"C"|3|85|3|85|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.068|"Moderate"|0|1|578222
"KfE"|"Kirvin fine sandy loam, 5 to 15 percent slopes"||10|9.2|130|||"None"|"None"|0|2.95|6.2|12.7|18.8|"Well drained"|"Well drained"|"C"||100|6|90|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.151|"Severe"|0|0.5|578223
