"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-6"|"Yes"|72051585|117743482
"A-4"|"No "|72051585|117743483
"A-6"|"Yes"|72051586|117743484
"A-4"|"No "|72051586|117743485
"A-7-6"|"Yes"|72051587|117743486
"A-6"|"No "|72051587|117743487
"A-4"|"No "|72052004|117744224
"A-6"|"Yes"|72052004|117744225
"A-6"|"No "|72052006|117744228
"A-7-6"|"Yes"|72052006|117744229
"A-4"|"No "|72052003|117744222
"A-6"|"Yes"|72052003|117744223
"A-4"|"No "|72052005|117744226
"A-6"|"Yes"|72052005|117744227
"A-4"|"Yes"|72052024|117744264
"A-7-6"|"Yes"|72052026|117744267
"A-6"|"Yes"|72052025|117744265
"A-4"|"No "|72052025|117744266
"A-6"|"No "|72052029|117744271
"A-4"|"Yes"|72052029|117744272
"A-4"|"Yes"|72052028|117744269
"A-6"|"No "|72052028|117744270
"A-6"|"Yes"|72052030|117744273
"A-7-6"|"Yes"|72052031|117744274
"A-6"|"Yes"|72052027|117744268
"A-7-6"|"Yes"|72052035|117744278
"A-7-6"|"Yes"|72052034|117744277
"A-4"|"Yes"|72052033|117744276
"A-4"|"Yes"|72052032|117744275
"A-7-6"|"Yes"|72052036|117744279
"A-6"|"Yes"|72052040|117744284
"A-4"|"No "|72052040|117744285
"A-4"|"Yes"|72052038|117744281
"A-7-6"|"Yes"|72052042|117744288
"A-6"|"No "|72052041|117744286
"A-7-6"|"Yes"|72052041|117744287
"A-4"|"No "|72052039|117744282
"A-6"|"Yes"|72052039|117744283
"A-4"|"Yes"|72052037|117744280
"A-2-4"|"Yes"|72051558|117743426
"A-4"|"No "|72051558|117743427
"A-6"|"Yes"|72051560|117743431
"A-7-6"|"No "|72051560|117743432
"A-2-4"|"No "|72051560|117743433
"A-6"|"Yes"|72051559|117743428
"A-7-6"|"No "|72051559|117743429
"A-4"|"No "|72051559|117743430
"A-2-4"|"Yes"|72051561|117743434
"A-4"|"No "|72051561|117743435
"A-7-6"|"No "|72052282|117744706
"A-6"|"Yes"|72052282|117744707
"A-2-4"|"Yes"|72052280|117744702
"A-4"|"No "|72052280|117744703
"A-4"|"No "|72052281|117744704
"A-2-4"|"Yes"|72052281|117744705
"A-6"|"Yes"|72052283|117744708
"A-7-6"|"No "|72052283|117744709
"A-7-6"|"Yes"|72052287|117744716
"A-6"|"No "|72052287|117744717
"A-6"|"No "|72052286|117744714
"A-7-6"|"Yes"|72052286|117744715
"A-4"|"Yes"|72052284|117744710
"A-6"|"No "|72052284|117744711
"A-7-6"|"Yes"|72052288|117744718
"A-4"|"Yes"|72052285|117744712
"A-6"|"No "|72052285|117744713
"A-4"|"No "|72051627|117743545
"A-6"|"Yes"|72051627|117743546
"A-7-6"|"No "|72051627|117743547
"A-4"|"No "|72051628|117743548
"A-6"|"Yes"|72051628|117743549
"A-7-6"|"No "|72051628|117743550
"A-4"|"No "|72051631|117743554
"A-6"|"Yes"|72051631|117743555
"A-7-6"|"No "|72051631|117743556
"A-7-6"|"Yes"|72051629|117743551
"A-4"|"No "|72051630|117743552
"A-6"|"Yes"|72051630|117743553
"A-4"|"Yes"|72051822|117743896
"A-4"|"Yes"|72051823|117743897
"A-6"|"Yes"|72051824|117743898
"A-4"|"No "|72051824|117743899
"A-4"|"Yes"|72051825|117743900
"A-6"|"No "|72051825|117743901
"A-4"|"Yes"|72051637|117743566
"A-2-4"|"No "|72051637|117743567
"A-4"|"Yes"|72051638|117743568
"A-6"|"No "|72051638|117743569
"A-4"|"Yes"|72051636|117743564
"A-2-4"|"No "|72051636|117743565
"A-4"|"Yes"|72051639|117743570
"A-6"|"No "|72051639|117743571
"A-6"|"Yes"|72051640|117743572
"A-7-6"|"No "|72051640|117743573
"A-4"|"No "|72051640|117743574
"A-7-6"|"Yes"|72051641|117743575
"A-6"|"No "|72051641|117743576
"A-2-4"|"No "|72051761|117743788
"A-4"|"Yes"|72051761|117743789
"A-4"|"Yes"|72051762|117743790
"A-4"|"No "|72051764|117743793
"A-6"|"Yes"|72051764|117743794
"A-2-4"|"No "|72051763|117743791
"A-4"|"Yes"|72051763|117743792
"A-2-4"|"No "|72051768|117743800
"A-4"|"Yes"|72051768|117743801
"A-4"|"Yes"|72051769|117743802
"A-6"|"No "|72051769|117743803
"A-6"|"Yes"|72051767|117743799
"A-4"|"Yes"|72051765|117743795
"A-6"|"No "|72051765|117743796
"A-4"|"No "|72051766|117743797
"A-6"|"Yes"|72051766|117743798
"A-2-4"|"Yes"|72051840|117743927
"A-3"|"No "|72051840|117743928
"A-2-4"|"Yes"|72051841|117743929
"A-3"|"No "|72051841|117743930
"A-4"|"Yes"|72051842|117743931
"A-2-4"|"No "|72051842|117743932
"A-4"|"Yes"|72051530|117743375
"A-2-4"|"No "|72051530|117743376
"A-6"|"No "|72051530|117743377
"A-4"|"Yes"|72051531|117743378
"A-2-4"|"No "|72051531|117743379
"A-6"|"No "|72051531|117743380
"A-4"|"Yes"|72051532|117743381
"A-2-4"|"No "|72051532|117743382
"A-6"|"No "|72051532|117743383
"A-6"|"Yes"|72051843|117743933
"A-7-6"|"No "|72051843|117743934
"A-4"|"No "|72051843|117743935
"A-6"|"Yes"|72051844|117743936
"A-7-6"|"No "|72051844|117743937
"A-4"|"No "|72051844|117743938
"A-4"|"Yes"|72051845|117743939
"A-6"|"Yes"|72052043|117744289
"A-7-6"|"No "|72052043|117744290
"A-4"|"No "|72052043|117744291
"A-4"|"Yes"|72052045|117744295
"A-6"|"Yes"|72052044|117744292
"A-7-6"|"No "|72052044|117744293
"A-4"|"No "|72052044|117744294
"A-2-4"|"Yes"|72051435|117743183
"A-4"|"No "|72051435|117743184
"A-6"|"Yes"|72051436|117743185
"A-7-6"|"No "|72051436|117743186
"A-2-4"|"No "|72051436|117743187
"A-6"|"Yes"|72051437|117743188
"A-7-6"|"No "|72051437|117743189
"A-2-6"|"No "|72051437|117743190
"A-2-4"|"Yes"|72051434|117743181
"A-4"|"No "|72051434|117743182
"A-7-6"|"Yes"|72051439|117743194
"A-2-4"|"No "|72051439|117743195
"A-7-6"|"Yes"|72051440|117743196
"A-2-6"|"Yes"|72051438|117743191
"A-7-6"|"No "|72051438|117743192
"A-1-b"|"No "|72051438|117743193
"A-7-6"|"Yes"|72052047|117744299
"A-4"|"No "|72052047|117744300
"A-7-6"|"Yes"|72052049|117744303
"A-7-6"|"Yes"|72052048|117744301
"A-6"|"No "|72052048|117744302
"A-6"|"Yes"|72052046|117744296
"A-7-6"|"No "|72052046|117744297
"A-2-4"|"No "|72052046|117744298
"A-7-6"|"Yes"|72051554|117743420
"A-7-6"|"Yes"|72051553|117743418
"A-6"|"No "|72051553|117743419
"A-7-6"|"Yes"|72051552|117743416
"A-4"|"No "|72051552|117743417
"A-6"|"Yes"|72051551|117743413
"A-7-6"|"No "|72051551|117743414
"A-2-4"|"No "|72051551|117743415
"A-6"|"Yes"|72052091|117744380
"A-7-6"|"No "|72052091|117744381
"A-4"|"No "|72052091|117744382
"A-7-6"|"Yes"|72052090|117744378
"A-7-5"|"No "|72052090|117744379
"A-7-6"|"Yes"|72052089|117744376
"A-6"|"No "|72052089|117744377
"A-7-6"|"Yes"|72052088|117744374
"A-4"|"No "|72052088|117744375
"A-4"|"No "|72051770|117743804
"A-2-4"|"Yes"|72051770|117743805
"A-4"|"No "|72051771|117743806
"A-7-6"|"No "|72051771|117743807
"A-6"|"Yes"|72051771|117743808
"A-4"|"No "|72051772|117743809
"A-7-6"|"No "|72051772|117743810
"A-6"|"Yes"|72051772|117743811
"A-4"|"No "|72051774|117743814
"A-2-4"|"Yes"|72051774|117743815
"A-4"|"No "|72051773|117743812
"A-2-4"|"Yes"|72051773|117743813
"A-6"|"No "|72051526|117743364
"A-7-5"|"No "|72051526|117743365
"A-7-6"|"Yes"|72051526|117743366
"A-4"|"No "|72051528|117743369
"A-2-4"|"Yes"|72051528|117743370
"A-6"|"No "|72051528|117743371
"A-4"|"No "|72051527|117743367
"A-2-4"|"Yes"|72051527|117743368
"A-6"|"No "|72051524|117743359
"A-7-5"|"No "|72051524|117743360
"A-7-6"|"Yes"|72051524|117743361
"A-6"|"No "|72051525|117743362
"A-7-6"|"Yes"|72051525|117743363
"A-4"|"No "|72051529|117743372
"A-7-6"|"No "|72051529|117743373
"A-6"|"Yes"|72051529|117743374
"A-6"|"Yes"|72051692|117743661
"A-4"|"No "|72051692|117743662
"A-4"|"Yes"|72051694|117743665
"A-7-6"|"Yes"|72051691|117743659
"A-6"|"No "|72051691|117743660
"A-6"|"Yes"|72051693|117743663
"A-4"|"No "|72051693|117743664
"A-6"|"No "|72051696|117743668
"A-4"|"Yes"|72051696|117743669
"A-7-6"|"Yes"|72051699|117743674
"A-6"|"No "|72051695|117743666
"A-4"|"Yes"|72051695|117743667
"A-4"|"Yes"|72051698|117743672
"A-6"|"No "|72051698|117743673
"A-6"|"No "|72051697|117743670
"A-4"|"Yes"|72051697|117743671
"A-6"|"No "|72051702|117743679
"A-4"|"Yes"|72051702|117743680
"A-4"|"Yes"|72051703|117743681
"A-6"|"No "|72051703|117743682
"A-7-6"|"Yes"|72051704|117743683
"A-4"|"Yes"|72051700|117743675
"A-6"|"No "|72051700|117743676
"A-6"|"No "|72051701|117743677
"A-4"|"Yes"|72051701|117743678
"A-6"|"Yes"|72051706|117743686
"A-4"|"No "|72051706|117743687
"A-4"|"Yes"|72051708|117743689
"A-7-6"|"Yes"|72051705|117743684
"A-6"|"No "|72051705|117743685
"A-4"|"Yes"|72051707|117743688
"A-7-6"|"Yes"|72051709|117743690
"A-6"|"No "|72051709|117743691
"A-6"|"Yes"|72051710|117743692
"A-4"|"No "|72051710|117743693
"A-4"|"Yes"|72051712|117743696
"A-6"|"Yes"|72051711|117743694
"A-4"|"No "|72051711|117743695
"A-2-4"|"Yes"|72051714|117743699
"A-4"|"No "|72051714|117743700
"A-6"|"Yes"|72051715|117743701
"A-7-6"|"No "|72051715|117743702
"A-2-6"|"No "|72051715|117743703
"A-6"|"Yes"|72051716|117743704
"A-7-6"|"No "|72051716|117743705
"A-4"|"No "|72051716|117743706
"A-2-4"|"Yes"|72051713|117743697
"A-4"|"No "|72051713|117743698
"A-2-4"|"No "|72051466|117743235
"A-3"|"Yes"|72051466|117743236
"A-2-4"|"No "|72051467|117743237
"A-3"|"Yes"|72051467|117743238
"A-2-4"|"Yes"|72052092|117744383
"A-3"|"No "|72052092|117744384
"A-2-4"|"Yes"|72052093|117744385
"A-3"|"No "|72052093|117744386
"A-4"|"No "|72052095|117744389
"A-2-4"|"Yes"|72052095|117744390
"A-4"|"No "|72052094|117744387
"A-2-4"|"Yes"|72052094|117744388
"A-7-6"|"No "|72052096|117744391
"A-6"|"Yes"|72052096|117744392
"A-7-6"|"No "|72052097|117744393
"A-6"|"Yes"|72052097|117744394
"A-2-4"|"Yes"|72051720|117743713
"A-3"|"No "|72051720|117743714
"A-2-4"|"Yes"|72051721|117743715
"A-3"|"No "|72051721|117743716
"A-4"|"No "|72051723|117743719
"A-2-4"|"Yes"|72051723|117743720
"A-7-6"|"No "|72051724|117743721
"A-6"|"Yes"|72051724|117743722
"A-4"|"No "|72051722|117743717
"A-2-4"|"Yes"|72051722|117743718
"A-7-6"|"No "|72051725|117743723
"A-6"|"Yes"|72051725|117743724
"A-6"|"Yes"|72052053|117744310
"A-7-6"|"No "|72052053|117744311
"A-4"|"Yes"|72052054|117744312
"A-6"|"No "|72052054|117744313
"A-6"|"Yes"|72052052|117744308
"A-4"|"No "|72052052|117744309
"A-4"|"Yes"|72052055|117744314
"A-2-4"|"No "|72052055|117744315
"A-4"|"Yes"|72052099|117744396
"A-4"|"Yes"|72052098|117744395
"A-7-6"|"Yes"|72052056|117744316
"A-7-5"|"No "|72052056|117744317
"A-6"|"No "|72052056|117744318
"A-4"|"Yes"|72052059|117744323
"A-6"|"No "|72052059|117744324
"A-7-6"|"Yes"|72052058|117744321
"A-6"|"No "|72052058|117744322
"A-7-6"|"Yes"|72052057|117744319
"A-6"|"No "|72052057|117744320
"A-7-6"|"Yes"|72052063|117744330
"A-6"|"No "|72052064|117744331
"A-7-6"|"Yes"|72052064|117744332
"A-7-6"|"Yes"|72052066|117744334
"A-6"|"No "|72052066|117744335
"A-7-6"|"No "|72052061|117744326
"A-6"|"Yes"|72052061|117744327
"A-6"|"Yes"|72052062|117744328
"A-7-6"|"No "|72052062|117744329
"A-4"|"Yes"|72052060|117744325
"A-4"|"Yes"|72052065|117744333
"A-7-6"|"Yes"|72051877|117744001
"A-6"|"No "|72051877|117744002
"A-7-6"|"Yes"|72051876|117743999
"A-6"|"No "|72051876|117744000
"A-6"|"Yes"|72051878|117744003
"A-4"|"No "|72051878|117744004
"A-7-6"|"Yes"|72051875|117743997
"A-4"|"No "|72051875|117743998
"A-7-6"|"No "|72051881|117744009
"A-6"|"Yes"|72051881|117744010
"A-4"|"No "|72051880|117744007
"A-2-4"|"Yes"|72051880|117744008
"A-4"|"No "|72051879|117744005
"A-2-4"|"Yes"|72051879|117744006
"A-7-6"|"No "|72051882|117744011
"A-6"|"Yes"|72051882|117744012
"A-7-6"|"Yes"|72051832|117743911
"A-6"|"No "|72051832|117743912
"A-7-6"|"No "|72051827|117743903
"A-6"|"Yes"|72051827|117743904
"A-7-6"|"Yes"|72051829|117743907
"A-6"|"No "|72051830|117743908
"A-7-6"|"Yes"|72051830|117743909
"A-4"|"Yes"|72051826|117743902
"A-4"|"Yes"|72051831|117743910
"A-6"|"Yes"|72051828|117743905
"A-7-6"|"No "|72051828|117743906
"A-6"|"Yes"|72051834|117743915
"A-4"|"No "|72051834|117743916
"A-4"|"Yes"|72051836|117743918
"A-2-4"|"No "|72051836|117743919
"A-6"|"Yes"|72051833|117743913
"A-4"|"No "|72051833|117743914
"A-4"|"Yes"|72051835|117743917
"A-6"|"Yes"|72051837|117743920
"A-7-6"|"No "|72051837|117743921
"A-4"|"No "|72051837|117743922
"A-7-6"|"Yes"|72051838|117743923
"A-7-5"|"No "|72051838|117743924
"A-6"|"No "|72051838|117743925
"A-4"|"Yes"|72051839|117743926
"A-7-6"|"Yes"|72052215|117744586
"A-7-6"|"Yes"|72052216|117744587
"A-4"|"Yes"|72052213|117744582
"A-2-4"|"No "|72052213|117744583
"A-6"|"No "|72052214|117744584
"A-7-6"|"Yes"|72052214|117744585
"A-7-6"|"Yes"|72052223|117744597
"A-6"|"No "|72052223|117744598
"A-6"|"Yes"|72052219|117744590
"A-7-6"|"No "|72052219|117744591
"A-7-6"|"Yes"|72052222|117744595
"A-6"|"No "|72052222|117744596
"A-7-6"|"Yes"|72052221|117744594
"A-6"|"Yes"|72052220|117744592
"A-7-6"|"No "|72052220|117744593
"A-4"|"Yes"|72052217|117744588
"A-4"|"Yes"|72052218|117744589
"A-7-6"|"Yes"|72051688|117743656
"A-7-6"|"Yes"|72051690|117743658
"A-4"|"Yes"|72051686|117743654
"A-4"|"Yes"|72051687|117743655
"A-7-6"|"Yes"|72051689|117743657
"A-7-6"|"Yes"|72051850|117743946
"A-6"|"No "|72051850|117743947
"A-6"|"Yes"|72051848|117743942
"A-7-6"|"No "|72051848|117743943
"A-7-6"|"Yes"|72051852|117743949
"A-6"|"No "|72051852|117743950
"A-7-6"|"Yes"|72051851|117743948
"A-6"|"Yes"|72051849|117743944
"A-7-6"|"No "|72051849|117743945
"A-4"|"Yes"|72051847|117743941
"A-4"|"Yes"|72051846|117743940
"A-4"|"No "|72052227|117744603
"A-6"|"Yes"|72052227|117744604
"A-4"|"Yes"|72052224|117744599
"A-4"|"Yes"|72052225|117744600
"A-7-6"|"Yes"|72052228|117744605
"A-6"|"No "|72052228|117744606
"A-4"|"No "|72052226|117744601
"A-6"|"Yes"|72052226|117744602
"A-4"|"Yes"|72052230|117744609
"A-6"|"No "|72052230|117744610
"A-7-6"|"Yes"|72052233|117744615
"A-6"|"No "|72052229|117744607
"A-4"|"Yes"|72052229|117744608
"A-4"|"Yes"|72052232|117744613
"A-6"|"No "|72052232|117744614
"A-4"|"Yes"|72052231|117744611
"A-6"|"No "|72052231|117744612
"A-4"|"Yes"|72052234|117744616
"A-4"|"Yes"|72052235|117744617
"A-4"|"No "|72052237|117744620
"A-6"|"Yes"|72052237|117744621
"A-7-6"|"Yes"|72052238|117744622
"A-6"|"No "|72052238|117744623
"A-6"|"Yes"|72052236|117744618
"A-4"|"No "|72052236|117744619
"A-6"|"Yes"|72052165|117744514
"A-4"|"No "|72052165|117744515
"A-4"|"Yes"|72052163|117744511
"A-7-6"|"Yes"|72052167|117744518
"A-6"|"No "|72052166|117744516
"A-7-6"|"Yes"|72052166|117744517
"A-4"|"No "|72052164|117744512
"A-6"|"Yes"|72052164|117744513
"A-4"|"Yes"|72052162|117744510
"A-7-6"|"Yes"|72052171|117744522
"A-7-6"|"Yes"|72052170|117744521
"A-4"|"Yes"|72052169|117744520
"A-7-6"|"Yes"|72052172|117744523
"A-4"|"Yes"|72052168|117744519
"A-4"|"Yes"|72052174|117744526
"A-6"|"No "|72052174|117744527
"A-6"|"No "|72052173|117744524
"A-4"|"Yes"|72052173|117744525
"A-4"|"Yes"|72052175|117744528
"A-6"|"No "|72052175|117744529
"A-7-6"|"Yes"|72052177|117744532
"A-4"|"Yes"|72052176|117744530
"A-6"|"No "|72052176|117744531
"A-6"|"Yes"|72052181|117744537
"A-7-6"|"No "|72052181|117744538
"A-4"|"Yes"|72052179|117744534
"A-4"|"Yes"|72052178|117744533
"A-7-6"|"Yes"|72052183|117744540
"A-6"|"No "|72052183|117744541
"A-6"|"Yes"|72052180|117744535
"A-7-6"|"No "|72052180|117744536
"A-7-6"|"Yes"|72052184|117744542
"A-6"|"No "|72052184|117744543
"A-7-6"|"Yes"|72052182|117744539
"A-4"|"No "|72052199|117744562
"A-6"|"Yes"|72052199|117744563
"A-4"|"Yes"|72052197|117744559
"A-7-6"|"Yes"|72052201|117744566
"A-4"|"Yes"|72052196|117744558
"A-4"|"No "|72052198|117744560
"A-6"|"Yes"|72052198|117744561
"A-6"|"No "|72052200|117744564
"A-7-6"|"Yes"|72052200|117744565
"A-7-6"|"Yes"|72052205|117744570
"A-7-6"|"Yes"|72052204|117744569
"A-4"|"Yes"|72052202|117744567
"A-7-6"|"Yes"|72052206|117744571
"A-4"|"Yes"|72052203|117744568
"A-6"|"No "|72052208|117744574
"A-4"|"Yes"|72052208|117744575
"A-6"|"No "|72052207|117744572
"A-4"|"Yes"|72052207|117744573
"A-6"|"Yes"|72052209|117744576
"A-7-6"|"Yes"|72052212|117744581
"A-6"|"No "|72052210|117744577
"A-4"|"Yes"|72052210|117744578
"A-7-6"|"Yes"|72052211|117744579
"A-6"|"No "|72052211|117744580
"A-6"|"No "|72052144|117744476
"A-7-5"|"No "|72052144|117744477
"A-7-6"|"Yes"|72052144|117744478
"A-4"|"Yes"|72052142|117744472
"A-6"|"No "|72052142|117744473
"A-4"|"Yes"|72052141|117744470
"A-6"|"No "|72052141|117744471
"A-6"|"Yes"|72052143|117744474
"A-7-6"|"No "|72052143|117744475
"A-4"|"Yes"|72052140|117744468
"A-2-4"|"No "|72052140|117744469
"A-4"|"Yes"|72052139|117744466
"A-2-4"|"No "|72052139|117744467
"A-6"|"Yes"|72052145|117744479
"A-4"|"No "|72052145|117744480
"A-4"|"Yes"|72052147|117744483
"A-4"|"Yes"|72052148|117744484
"A-2-4"|"No "|72052148|117744485
"A-4"|"No "|72052146|117744481
"A-6"|"Yes"|72052146|117744482
"A-4"|"Yes"|72051657|117743607
"A-2-4"|"No "|72051657|117743608
"A-2-4"|"Yes"|72051658|117743609
"A-4"|"No "|72051658|117743610
"A-2-4"|"Yes"|72051659|117743611
"A-4"|"No "|72051659|117743612
